A,B,C,D,E,F
1,0.932150219419851,5,cat,lkasd,asd
2,0.932150219419851,4,dog,lkasd,asd
3,0.932150219419851,6,potato,lkasd,sd
4,0.932150219419851,5,chicken,lkasd,asd
5,0.932150219419851,1,chicken,lkasd,d
6,0.932150219419851,1,chicken,lkasd,d
7,0.932150219419851,1,chicken,lkasd,d
8,0.932150219419851,1,chicken,lkasd,d
9,0.932150219419851,1,chicken,lkasd,d
10,0.932150219419851,1,chicken,lkasd,d
11,0.932150219419851,1,chicken,lkasd,d
12,0.932150219419851,1,chicken,lkasd,d
13,0.932150219419851,1,chicken,lkasd,d
14,0.932150219419851,1,chicken,lkasd,d
15,0.932150219419851,1,chicken,lkasd,d
16,0.932150219419851,1,chicken,lkasd,d
17,0.932150219419851,1,chicken,lkasd,d
18,0.932150219419851,1,chicken,lkasd,d
19,0.932150219419851,1,chicken,lkasd,d
20,0.932150219419851,1,chicken,lkasd,d
21,0.932150219419851,1,chicken,lkasd,d
22,0.932150219419851,1,chicken,lkasd,d
23,0.932150219419851,1,chicken,lkasd,d
24,0.932150219419851,1,chicken,lkasd,d
25,0.932150219419851,1,chicken,lkasd,d
